번호	상호	영업표지	대표자	등록번호	최초등록일	업종
5704	바이올독	바이올독(BUYALLDOG)	박다미	20241068	2024.08.02	반려동물 관련
5703	(주)씨피알프로젝트	덕수파스타 딜리버리	김민수	20210393	2021.02.16	서양식
5702	사계절흑염소	사계절흑염소	박복림	20241064	2024.08.02	한식
5701	농업회사법인㈜담따프레시	진 강남족발	김진욱	20241063	2024.08.02	한식
5700	막창덕후(본점)	막창덕후	백한기	20241062	2024.08.02	한식
5699	세종케이푸드컴퍼니(주)	세종화백집	서인수	20241076	2024.08.02	한식
5698	따름인	#힘이나는커피생활	김희민	20210442	2021.02.16	커피
5697	준성이네	준성이네	LI FENGGUANG(이봉광)	20230660	2023.05.10	중식
5696	장안라운지본점	장안라운지	송정재	20241070	2024.08.02	주점
5695	(주)맥스원이링크	바나타이거	황규연	20212341	2021.09.30	커피
5694	보노보노웍	막창타워	김형숙	20241073	2024.08.02	배달
5693	어부정가	어부정가	정인홍	20241074	2024.08.02	기타도소매
5692	오밤족	오밤족	이상오	20241072	2024.08.02	한식
5691	(주)트루자임(TruezymeCo.,Ltd.)	루미노셀	홍규리	20241065	2024.08.02	화장품
5690	(주)오이코	별국수	박선아	20241067	2024.08.02	한식
5689	(주)디딤이앤에프	황금식당	김대은	20170659	2017.06.01	한식
5688	(주)디딤이앤에프	호랭이곱창	김대은	20150047	2015.01.19	한식
5687	(주)디딤이앤에프	해장냉면	김대은	20201450	2020.11.03	배달
5686	(주)디딤이앤에프	한라담	김대은	20190828	2019.08.13	한식
5685	(주)디딤이앤에프	코리앗치킨딜리버리	김대은	20201444	2020.11.03	배달
5684	(주)디딤이앤에프	코리앗치킨	김대은	20201448	2020.11.03	치킨
5683	(주)디딤이앤에프	차돌6키로	김대은	20180140	2018.02.13	한식
5682	(주)디딤이앤에프	연안식당	김대은	20171421	2017.12.01	한식
5681	(주)디딤이앤에프	연남숯불닭갈비	김대은	20190867	2019.08.22	한식
5680	(주)디딤이앤에프	애플삼겹살	김대은	20160031	2016.01.13	한식
5679	(주)디딤이앤에프	신마포갈매기	김대은	20090100099	2009.02.18	한식
5678	(주)디딤이앤에프	서해물총칼국수	김대은	20201446	2020.11.03	한식
5677	(주)디딤이앤에프	번개두마리찜닭	김대은	20201449	2020.11.03	배달
5676	(주)디딤이앤에프	배달삼겹 돼지되지	김대은	20170464	2017.03.31	한식
5675	(주)디딤이앤에프	반달전집	김대은	20190865	2019.08.21	한식
5674	(주)디딤이앤에프	미추냉삼	김대은	20181285	2018.12.11	한식
5673	(주)디딤이앤에프	마포옥고급소갈비	김대은	20201666	2020.12.03	한식
5672	(주)디딤이앤에프	마포신갈비찜	김대은	20190866	2019.08.21	한식
5671	(주)디딤이앤에프	디딤딜리버리	김대은	20210683	2020.12.29	배달
5670	(주)디딤이앤에프	도시수산시장	김대은	20200860	2020.07.13	한식
5669	(주)디딤이앤에프	공화춘	김대은	20200861	2020.07.13	중식
5668	(주)디딤이앤에프	고래식당	김대은	20161233	2016.12.15	한식
5667	(주)디딤이앤에프	고래감자탕딜리버리	김대은	20201447	2020.11.03	배달
5666	(주)디딤이앤에프	고래감자탕	김대은	20170223	2017.02.10	한식
5665	하오반점	하오반점	김동현, 김경민	20241071	2024.08.02	중식
5664	푸드비즈	카페몬스터	김종화	20241080	2024.08.02	커피
5663	(주)디딤이앤에프	육고수	김대은	20201451	2020.11.03	배달
5662	찜한푸드	김치찜한돼지	곽철민	20230677	2023.05.12	한식
5661	(주)욜로에프앤씨	욜로PC방	서현철	20200393	2020.03.18	PC방
5660	(주)해우리홀딩스	해우리	오유택	20171442	2017.12.07	한식
5659	(주)청욱	로얄자카르타	김봉성	20201279	2020.09.29	주점
5658	(주)청춘에프앤비	EGG182(에그182)	이상우	20211758	2021.08.04	서양식
5657	(주)청춘에프앤비	써든부대찌개	이상우	20211756	2021.08.04	한식
5656	(주)청춘에프앤비	SUDDEN STEAK(써든스테이크)	이상우	20211757	2021.08.04	서양식
5655	마라궁	마라궁	왕수정	20230045	2023.01.11	중식
5654	(주)경성키친	경성키친	최보선	20200447	2020.03.30	기타 외식
5653	(주)에프엔아이컴퍼니	윤반장	윤희재	20211652	2021.07.20	한식
5652	(주)뉴플레이스에프엔비	뉴플레이스커피	노명근	20215533	2021.11.17	커피
5651	(주)국밥쟁이	국밥쟁이	전영근	20200355	2020.03.10	한식
5650	바른푸드	바른죽	김보민	20221197	2022.11.09	한식
5649	(주)맥스원이링크	셀렉토커피	황규연	20120100504	2012.09.19	커피
5648	(주)맥스원이링크	스윗샌드	황규연	20213574	2021.10.29	기타 외식
5647	(주)위드에프앤비	곱도리탕전문점	조민형	20215451	2021.11.17	한식
5646	(주)위드에프앤비	하누곱도리	조민형	20215450	2021.11.17	한식
5645	(주)원프두	원청담면옥	윤달원	20190338	2019.04.10	한식
5644	제이원	1일1디저트	안재홍	20212968	2021.10.21	기타 외국식
5643	(주)종로호랑이에프앤디	1974 종로호랑이맥주	김석주	20200006	2020.01.02	주점
5642	㈜몬스터	몬스터커피	안기수	20191191	2019.11.15	커피
5641	매복식당	매복식당	백건우	20221377	2022.12.13	한식
5640	㈜티엠컴퍼니	커피스토아	김진수, 박상준	20211570	2021.07.14	커피
5639	(주)황제에프앤씨	황제무한화로구이	김성훈	20213027	2021.10.21	한식
5638	(주)오리엔트푸드	석관동떡볶이	홍정화	20160327	2016.04.07	기타 외식
5637	농업회사법인(주)아침빛바다	미미관마라탕	제정훈	20214794	2021.11.12	중식
5636	간호사언니들	우리동네방문간호센터	박이랑	20213680	2021.11.01	기타 서비스
5635	(주)에이치엘코포레이션	한뚝수육국밥	김민찬	20190603	2019.06.26	한식
5634	아끌로네	아끌로네	장윤주	20220048	2022.01.18	피자
5633	(주)완벽한인생브루어리	파스타에꼬치다	정학재	20190737	2019.07.24	기타 외식
5632	(주)더큰코리아	소바공방	변기환	20231798	2023.12.05	일식
5631	(주)메이플탑	메이플탑	권 제임스 영(Kwon James Young)	20231076	2023.07.26	기타 외식
5630	(주)강동오케익	풍년인카페	강동오	20170187	2017.02.03	음료 (커피 외)
5629	(주)강동오케익	풍년제과	강동오	20080400011	2008.07.30	제과제빵
5628	마라탕입구	마라입구	CUI JINHUA	20230469	2023.03.27	중식
5627	신입파스타본사	신입파스타	유병진,이준수	20220401	2022.05.12	서양식
5626	농담	농담	김진우	20210253	2021.01.28	서양식
5625	로얄파트너스(주)	에이치스타일	방영웅	20090100322	2009.07.07	이미용
5624	로얄파트너스(주)	헤어팰리스	방영웅	20090100321	2009.07.07	이미용
5623	(주)투짱보태	그집등갈비	염태훈	20212185	2021.09.15	한식
5622	뭉돌이흑돼지	뭉돌이흑돼지	박재준	20240005	2024.01.02	한식
5621	킹카워시	킹카워시	김인상	20211462	2021.06.29	자동차 관련
5620	갓스칼프	갓스칼프	서재권	20214962	2021.11.15	이미용
5619	(주)영동족발	영동족발	정용철	20130361	2013.11.07	기타 외식
5618	(주)휴림	삼백집	조문수	20110400001	2011.03.14	한식
5617	(주)쉐프군단	직진남	원종민	20231626	2023.11.07	기타 외식
5616	(주)에스엘에스탑	구피샵	하권교	20130100468	2013.07.01	이미용
